"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.823914","008440229","Monograph","Language material ; Text","Volume","","","9780816186037","Pringle, David","","person","","Pringle, David [person]","J.G. Ballard : a primary and secondary bibliography","","Masters of science fiction and fantasy","","United States of America","Boston, Massachusetts","G.K. Hall","1984","","","85/21767","Science fiction, English--Bibliography ; Ballard, J. G, 1930-2009--Bibliography","","English","",""
"306","014681389","Monograph","Language material ; Text","Volume","GBA894906","","9780007292790","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","A user's guide to the millennium","","","","England","London","HarperCollins","2008","","1 volume, 20 cm","","Culture ; Civilization, Modern--20th century ; Technology--Social aspects","","English","Includes index ; Originally published: 1996",""
"320.510973","019034403","Monograph","Language material ; Text","Volume","GBB907203","","9781476664668","Heffernan, Niall","1977-","person","author","Heffernan, Niall, 1977-, author [person]","In the shadow of the bomb : the legacy of the Cold War in Dr. Strangelove, End Zone, Crash and The Wire","","","","United States of America","Jefferson, North Carolina","McFarland","2018","","vii, 201 pages, 23 cm","YC.2019.a.592","DeLillo, Don ; Dr. Strangelove (Motion picture) ; Wire (Television program) ; Ballard, J. G, 1930-2009 ; Neoliberalism in popular culture--United States ; Cold War--Influence","","English","",""
"759.2","014546503","Monograph","Language material ; Text","Volume","GBA983368","","9780955613401","Harper, Andy","","person","","Harper, Andy [person]","The ballad of Mistah Bones","","","","England","London","Frost & Reed Contemporary","2007","","24 pages, chielfly colour illustrations, 25 cm","YK.2009.b.5864","Ballard, J. G, 1930-2009 ; Painting, English--21st century","","English","",""
"779.092","013086516","Monograph","Language material ; Text","Volume","GBA505321","","9781903781029","Robinson, Jamie","","person","","Shashou, Natalie [person] ; Ballard, J. G., 1930-2009 [person] ; Robinson, Jamie [person]","Pleasant lands","","","","England","London","Immprint","2005","","196 pages, illustrations, 31 cm","","Documentary photography ; Robinson, Jamie","","English","",""
"779.451132","016867044","Monograph","Language material ; Still image ; Text","Volume","GBB4B5391","","9780992815707","Bollen, James H.","","person","photographer","Bollen, James H., photographer [person]","Jim's terrible city : J.G. Ballard and Shanghai","","","","England","","James H. Bollen","2014","First edition","96 pages, chiefly illustrations (black and white and colour), 24 cm","LC.31.a.15175","Shanghai (China)--Pictorial works ; Ballard, J. G, 1930-2009--Homes and haunts ; Photography, Artistic","Pictorial work","English","Limited edition of 1000 copies ; Title from cover",""
"791.4372","019934373","Monograph","Language material ; Text","Online resource","GBC0E5781","","9781838715168","Sinclair, Iain","","person","","British Film Institute [organisation] ; Sinclair, Iain [person]","Crash : David Cronenberg's post-mortem on J.G. Ballard's 'Trajectory of fate'","Atrocity Exhibitions -- ; Cronenberg's Crash -- ; J.G. Ballard and James Ballard -- ; Liquid Mirror: Ballard Dissolves to Cronenberg -- ; Novel as Audition Piece -- ; The Other Crash Films -- ; The Trajectory of Fate ; White Nights on the Bauhaus Balcony --","BFI modern classics","","England ; United Kingdom","London","British Film Institute","2019","","1 online resource (112 pages)","ELD.DS.550757","Cronenberg, David, 1943- ; Crash (Cronenberg) ; Crash (Ballard, J. G.) ; Ballard, J. G, 1930-2009 ; Cronenberg, David, 1943---Criticism and interpretation ; Ballard, J. G. (James Graham), 1930- ; Crash (Film) ; Crash (Motion picture) ; Cronenberg, David, 1943---Critique et interprétation ; Crash (Motion picture : 1996)","Criticsm and interpretation","English","",""
"823","010707377","Monograph","Language material ; Text","Volume","GB9191482","","9780586090633","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","War fever","","","","England","","Grafton ; HarperCollins","1991","","1 volume","H.91/3221","","","English","",""
"823","016470028","Monograph","Language material ; Text","Volume","","","9782877755337","Kraitsowits, Stephan","","person","","Kraitsowits, Stephan [person]","J.G. Ballard : inventer la réalité","","","","France","Mont-Saint-Aignan","des universités de Rouen & du Havre","2011","","212 pages, 21 cm","YF.2013.a.16977","Ballard, J. G, 1930-2009--Criticism and interpretation ; British Science Fiction Literature--20th Century--Criticism and interpretation--Ballard","","French","",""
"823.0071241","007375349","Monograph","Language material ; Text","Volume","GB8931860","","9780435164188","Hales, Sheila","","person","","Hales, Sheila [person] ; Ballard, J. G., 1930-2009 [person]","Empire of the sun, J.G. Ballard","Empire of the sun","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","Cup.936/1086","Fiction--Study and teaching (Secondary)--Great Britain ; Great Britain--Secondary schools--Curriculum subjects--Fiction in English--Teaching ; English literature--Study and teaching (Secondary)--Great Britain","","English","In plastic slip case",""
