"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","005589097","Monograph","Language material ; Text","Volume","GB7510870","","9780552097482","The inner landscape","Boy in darkness ; Danger, religion! ; The voices of time","Corgi SF collector's library","","England","London","Corgi","1975","","187 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","This collection originally published: London : Allison and Busby, 1969",""
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","008110984","Monograph","Language material ; Text","Volume","GB6911830","","9780850310054","The inner landscape","","","","England","London","Allison & Busby","1969","","151 pages","823.91","YA.1996.a.1507","Science fiction","","English","Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956",""
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","011584454","Monograph","Language material ; Text","Volume","GB7023429","","9780552085007","The inner landscape","Boy in darkness ; Danger: religion! ; Voices of time","","","England","London","Corgi","1970","","190 pages, 18 cm","823.91","","","","English","Contents: Peake, Mervyn. Boy in darkness. Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956. - Ballard, James Graham. The voices of time. - Aldiss, Brian Wilson. Danger: religion! ; Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956 ; Originally published (B69-11830), London: Allison & Busby, 1969",""
"Amaya, Mario","","person","editor","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Atwood, Margaret Eleanor, Canadian author","1939-","person","correspondent","Jolley, Monica Elizabeth, writer, 1923-2007 [correspondent] ; Manning, Olivia Mary, author, 1908-1980 [correspondent] ; Wilson, John Burgess, author and critic; pseudonym Anthony Burgess, 1917-1993 [correspondent] ; Howard, Marghanita, née Laski; writer and critic, 1915-1988 [correspondent] ; Jordan, Neil, filmmaker and novelist, 1950 [correspondent] ; Zinnemann, Frederick, Austrian-American film director, 1907-1997 [correspondent] ; Ballard, James Graham, writer, 1930-2009 [correspondent] ; Berger, John Peter, author and art critic, 1926-2017 [correspondent]","038-000000818","SubSubSeries. Archives and Manuscripts","","","","ark:/81055/vdc_100000000061.0x000113","","Angela Carter Papers: General correspondence of Angela Carter 1-2","","","","","","","1970-1992, nd","","2 files","","Western Manuscripts. Add MS 88899/3/1-2","","","English","General correspondence. Mostly typewritten and signed. Including letters from Margaret Atwood, J. G. Ballard, John Berger, Anthony Burgess, Elizabeth Jolley, Neil Jordan, Marghanita Laski, Olivia Manning, and Fred Zinnemann",""
"Ballard, J. G. (James Graham)","1930-2009","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","005589097","Monograph","Language material ; Text","Volume","GB7510870","","9780552097482","The inner landscape","Boy in darkness ; Danger, religion! ; The voices of time","Corgi SF collector's library","","England","London","Corgi","1975","","187 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","This collection originally published: London : Allison and Busby, 1969",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","008110984","Monograph","Language material ; Text","Volume","GB6911830","","9780850310054","The inner landscape","","","","England","London","Allison & Busby","1969","","151 pages","823.91","YA.1996.a.1507","Science fiction","","English","Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","011584454","Monograph","Language material ; Text","Volume","GB7023429","","9780552085007","The inner landscape","Boy in darkness ; Danger: religion! ; Voices of time","","","England","London","Corgi","1970","","190 pages, 18 cm","823.91","","","","English","Contents: Peake, Mervyn. Boy in darkness. Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956. - Ballard, James Graham. The voices of time. - Aldiss, Brian Wilson. Danger: religion! ; Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956 ; Originally published (B69-11830), London: Allison & Busby, 1969",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Science fiction, English ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
