"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Africa, Central--Fiction","geographical term","010078059","Monograph","Language material ; Text","Volume","GB8732026","","9780575041523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Gollancz","1987","","256 pages, 24 cm","823.914","Nov.1987/2250","Fiction","English","",""
"Africa, Central--Fiction","geographical term","013454390","Monograph","Language material ; Text","Volume","GBA642031","","9780007227891","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Harper Perennial","2006","","287 pages, 20 cm","823.914","H.2006/4481","Fiction","English","Originally published: London: Gollancz, 1987",""
"Aldiss, Brian W. (Brian Wilson), 1925-2017--Criticism and interpretation","person","015894677","Monograph","Language material ; Text","Volume","GBB1B0350","","9780415500623","Greenland, Colin","1954-","person","","Greenland, Colin, 1954- [person]","The entropy exhibition : Michael Moorcock and the British 'New Wave' in science fiction","","Routledge revivals","","England","London","Routledge","2011","","244 pages, 22 cm","823.087609","","","English","",""
"Aldiss, Brian W. (Brian Wilson), 1925-2017--Criticism and interpretation","person","016224910","Monograph","Language material ; Text","Volume","GBB2C2183","","9780415519946","Greenland, Colin","1954-","person","","Greenland, Colin, 1954- [person]","Entropy exhibition : Michael Moorcock and the British 'New Wave' in science fiction","","Routledge revivals","","England","London","Routledge","2013","","1 volume, 22 cm","823.087609","","","English","",""
"America--Civilization--Fiction","geographical term","014632893","Monograph","Language material ; Text","Volume","GBA872851","","9780007287031","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Harper Perennial","2008","","224, 25 pages, 20 cm","823.914","H.2009/.4677","Dystopia ; Fiction","English","Originally published: London: Cape, 1981",""
"America--Social conditions--Fiction","geographical term","014632893","Monograph","Language material ; Text","Volume","GBA872851","","9780007287031","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Harper Perennial","2008","","224, 25 pages, 20 cm","823.914","H.2009/.4677","Dystopia ; Fiction","English","Originally published: London: Cape, 1981",""
"American fiction","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"American fiction--History and criticism","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Architects--Fiction","general term","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","823.914","H.2009/500","Fiction","English","Originally published: London: Cape, 1974",""
"Art","lcsh","041-003203501","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fc","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(20)","","","Inscription: Handwritten in pencil on verso: 2744-3-14. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Art","lcsh","041-003203502","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fd","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(21)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Art","lcsh","041-003203503","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002fe","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J G Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(22)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Art","lcsh","041-003203504","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0002ff","","","","","","Ballard, James Graham, writer, 1930-2009, http://isni.org/isni/9842556, http://viaf.org/viaf/9842556 [portrait subject] ; Godwin, Fay, photographer, 1931-2005, http://isni.org/isni/0000 0001 0974 0206, http://viaf.org/viaf/0000 0001 0974 0206 [photographer]","J. G. Ballard, 1976. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(23)","","","Inscription: Handwritten in pencil on verso: 2744-3-14a. Genre: Portrait Photography. J. G. Ballard stands to the left of a contemporary waist-high garden sculpture in the shape of a fungus. He wears plaid trousers, a checked shirt and a large lapel jacket that is fastened. He is looking beyond the camera to the right and slightly upwards. (One of four prints.)",""
"Art, Modern--21st century--Exhibitions","general term","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Artists' book--periodical--U.S.A--1969","general term","018677669","Monograph","Language material ; Text","Volume","","","","","","","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
